Mon Feb  9 00:38:31 CST 2026
top - 00:38:32 up 392 days,  1:17,  2 users,  load average: 59.01, 55.75, 53.39
Tasks: 2158 total,  51 running, 2107 sleeping,   0 stopped,   0 zombie
%Cpu(s): 30.5 us,  1.6 sy,  0.0 ni, 67.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 1045781.+total, 397615.6 free, 131281.7 used, 516883.9 buff/cache
MiB Swap:  55295.9 total,  33380.7 free,  21915.2 used. 768161.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1708792 songhy2+  20   0 8204.2g   7.0g 830912 S 108.7   0.7  43:54.46 python3.11
1708793 songhy2+  20   0 8204.0g   7.0g 830400 S 108.7   0.7  43:39.49 python3.11
1708794 songhy2+  20   0 8204.0g   7.1g 830400 S 104.3   0.7  43:54.12 python3.11
1708795 songhy2+  20   0 8204.0g   7.0g 830400 S 104.3   0.7  43:45.67 python3.11
1708796 songhy2+  20   0 8204.0g   7.0g 830656 S 100.0   0.7  43:31.12 python3.11
1708797 songhy2+  20   0 8204.0g   7.0g 830400 S  95.7   0.7  43:53.36 python3.11
1708798 songhy2+  20   0 8204.0g   7.0g 830400 S  95.7   0.7  43:52.58 python3.11
1708799 songhy2+  20   0 8203.9g   6.9g 830656 S  95.7   0.7  43:42.67 python3.11
2117859 songhy2+  20   0   12.0g   6.3g  49152 R  87.0   0.6   0:19.53 pt_data_worker
2118048 songhy2+  20   0   12.0g   6.3g  49920 R  87.0   0.6   0:19.57 pt_data_worker
2117057 songhy2+  20   0   12.0g   6.3g  49728 R  82.6   0.6   0:19.66 pt_data_worker
2117061 songhy2+  20   0   12.0g   6.4g  49920 R  82.6   0.6   0:19.64 pt_data_worker
2117071 songhy2+  20   0   12.0g   6.3g  49088 R  82.6   0.6   0:19.63 pt_data_worker
2117079 songhy2+  20   0   12.0g   6.3g  49920 R  82.6   0.6   0:19.60 pt_data_worker
2117080 songhy2+  20   0   12.0g   6.3g  49088 R  82.6   0.6   0:19.61 pt_data_worker
2117084 songhy2+  20   0   12.0g   6.3g  50048 R  82.6   0.6   0:19.58 pt_data_worker
2117232 songhy2+  20   0   12.0g   6.3g  49024 R  82.6   0.6   0:19.62 pt_data_worker
2117273 songhy2+  20   0   12.0g   6.3g  49024 R  82.6   0.6   0:19.60 pt_data_worker
2117275 songhy2+  20   0   12.0g   6.3g  49984 R  82.6   0.6   0:19.60 pt_data_worker
2117300 songhy2+  20   0   12.0g   6.3g  50048 R  82.6   0.6   0:19.58 pt_data_worker
2117338 songhy2+  20   0   12.0g   6.3g  49728 R  82.6   0.6   0:19.66 pt_data_worker
2117375 songhy2+  20   0   12.0g   6.4g  49984 R  82.6   0.6   0:19.65 pt_data_worker
2117399 songhy2+  20   0   12.0g   6.3g  49920 R  82.6   0.6   0:19.64 pt_data_worker
2117454 songhy2+  20   0   12.0g   6.3g  49088 R  82.6   0.6   0:19.60 pt_data_worker
2117458 songhy2+  20   0   12.0g   6.3g  49984 R  82.6   0.6   0:19.60 pt_data_worker
